,nickname,text,score,like,dislike,time,watch_movie
353,Book(samm****),코로나 핑계대지마라 관람객이 없어서 망한게 아니다 이 영화는,1,3,0,2020-09-25 10:40:00,0
354,몰라(alsr****),,1,3,0,2020-09-25 08:25:00,0
355,okok****,재활용 불가 졸작 OOOO ㅋㅋㄹㅇ,1,3,0,2020-09-25 02:10:00,0
356,HJ(vene****),뿡뿌딕 영화....악,1,3,0,2020-09-25 01:18:00,0
357,jjjj(juce****),"중국 그냥 서양화해서 배우는 서양배우 주인공도 아시아계서양인, 배경을 중국으로 찍는게 나아보임. 영화만 주면 3류 무협을 만들라하니;;",1,3,0,2020-09-25 00:02:00,0
358,이마일(wits****),"어휴.. 꼭, 봐라 같이 죽자.",2,3,0,2020-09-24 23:41:00,0
359,pell****,그냥 이거볼봐에 원작 다시봐라두번봐라,1,3,0,2020-09-24 23:40:00,0
360,지존우진(zizo****),꼭 유역비가 해야 했나?,1,3,0,2020-09-24 22:29:00,0
361,lol(loll****),"원작의 여성 서사는 오히려 퇴보되어버렸음. 동양에 대한 지식이 1도 없고 커리어도 별로지만 ""여성""이라는 이유로 뽑힌 감독이 싸지른 똥을 보고 있자니 웃음 밖에 안나옴. 지나친 PC와 페미니즘이 얼마나...",1,3,0,2020-09-24 20:01:00,0
362,망고탱코(fkf4****),지루할틈은 없었습니다 영상과 액션도 멋있어요ㅎㅎ,8,3,0,2020-09-23 17:24:00,0
363,재내피즈(tpag****),무슈 없는건 너무 아쉽지만 볼만하더라구여~~,7,3,0,2020-09-23 17:22:00,0
364,토이(s5gi****),황궁을 실사로 보게되다니ㅠㅠ,7,3,0,2020-09-23 17:05:00,0
365,밀라노(vs5l****),전체적으로 괜찮은데 스토리가 조금 아쉬워요,7,3,0,2020-09-22 17:36:00,0
366,레인보유Fresh(um23****),역대 최고의 OOO 영화 ..진짜 캐실망함,2,3,0,2020-09-22 16:55:00,0
367,도마도재배자(dfma****),응 중국 싫어 불매운동 홍콩지지,1,3,0,2020-09-22 15:23:00,0
368,유나(syn1****),디즈니 실망햇숨니다 .... 평이 안좋지만 에이 그래도 디즈니자나 이러면서 봤는데 정말 뒷통수가 따갑네용,1,3,0,2020-09-22 15:10:00,0
369,아금바리(hs69****),연기 연출 스토리 꽝인 영화,1,3,0,2020-09-22 15:06:00,0
370,비타츄(real****),유역비가 문제가 아님 진짜 재미없어요 그나마 유역비 남장하고 군대들어간 데까지는 볼만한데 그후로는 휴.. 스케일도 작고 마녀는 왜 넣은건지,1,3,0,2020-09-22 10:12:00,0
371,청심환(babe****),어떻게 8점 넘어가지????명작을 졸작으로 만들었ㅇㄷㅁ,1,3,0,2020-09-22 06:05:00,0
372,아라따따(qjat****),7광구와  리얼과  성냥팔이소녀의재림을 능가하는 개좋망작,1,3,0,2020-09-21 20:29:00,0
373,smar****,뮬란 애니메이션을 보세요,1,3,0,2020-09-21 15:48:00,0
374,호이호이(chid****),디즈니 영화중 최악을 기록할듯,1,3,0,2020-09-21 13:28:00,0
375,Sang Hui Lee(chil****),"우리애들 왈, ""이건 뮬란이 아니야. """,2,3,0,2020-09-19 15:00:00,0
376,아담한언덕(wide****),안보시는 게 좋을 것 같아요^^,1,3,0,2020-09-18 17:36:00,0
377,KASH(atmo****),그냥보지마세요.후회합니다.,2,3,0,2020-09-18 17:23:00,0
378,유민철(fasj****),주인공 이름이 뮬란이라는거 빼고 공통점이 없네요,1,3,0,2020-09-18 17:20:00,0
379,푸른늑대의죽음(91bw****),제대로 망한 영화를 보여준 대표적 사례. 게임을 하면서 봐도 전혀 어색하지 않은 연출. 너무 긴장감이 없어 스스로 허벅지에 바늘을 찔러넣어야될 구성. 이제 제대로 욕할수 있게 만들어준 주연과 감독에 감사.,1,3,0,2020-09-18 17:19:00,0
380,wise****,"디즈니판 엄복동이냐? 개연성은 다 어디다 팔아먹었냐? 초원에서 웬 눈사태? 산속에서 ‘화 뮬란’ 소리치니깐 갑자기 슈퍼맨이 되서 싹 쓸어버리고,,, 비됴가게에서 천원주고 무술영화 빌려보는게 훨 낫겠다,, 진짜 이건 ...",1,3,0,2020-09-18 17:02:00,0
